date,gross_ret,cost_ret,gross_leverage,n_long,n_short,portfolio_turnover,net_ret,equity,cum_ret
2024-11-27,0.0,0.0,0.0,0,0,0.0,0.0,1214590.8476673432,0.21459084766734327
2024-11-28,0.0,0.0,0.0,0,0,0.0,0.0,1214590.8476673432,0.21459084766734327
2024-11-29,0.0,0.0,0.0,0,0,0.0,0.0,1214590.8476673432,0.21459084766734327
2024-12-02,0.0,0.0,0.0,0,0,0.0,0.0,1214590.8476673432,0.21459084766734327
2024-12-03,0.0,0.0,0.0,0,0,0.0,0.0,1214590.8476673432,0.21459084766734327
2024-12-04,0.0,0.0,0.0,0,0,0.0,0.0,1214590.8476673432,0.21459084766734327
2024-12-05,0.0,0.0,0.0,0,0,0.0,0.0,1214590.8476673432,0.21459084766734327
2024-12-06,0.0,0.0,0.0,0,0,1.0,0.0,1214590.8476673432,0.21459084766734327
2024-12-09,0.0005089894726256067,0.0,1.0,4,4,0.5,0.0005089894726256067,1215209.0616223533,0.2152090616223532
2024-12-10,0.0025838501249062784,0.0,1.0,4,4,1.0,0.0025838501249062784,1218348.9797080134,0.21834897970801337
2024-12-11,0.0,0.0,0.0,0,0,1.0,0.0,1218348.9797080134,0.21834897970801337
2024-12-12,-0.0014214436733798737,0.0,0.9999999999999999,3,5,1.0,-0.0014214436733798737,1216617.1652588386,0.21661716525883867
2024-12-13,0.0,0.0,0.0,0,0,0.0,0.0,1216617.1652588386,0.21661716525883867
2024-12-16,0.0,0.0,0.0,0,0,0.0,0.0,1216617.1652588386,0.21661716525883867
2024-12-17,0.0,0.0,0.0,0,0,0.0,0.0,1216617.1652588386,0.21661716525883867
2024-12-18,0.0,0.0,0.0,0,0,0.0,0.0,1216617.1652588386,0.21661716525883867
2024-12-19,0.0,0.0,0.0,0,0,0.0,0.0,1216617.1652588386,0.21661716525883867
2024-12-20,0.0,0.0,0.0,0,0,0.0,0.0,1216617.1652588386,0.21661716525883867
2024-12-23,0.0,0.0,0.0,0,0,0.0,0.0,1216617.1652588386,0.21661716525883867
2024-12-27,0.0,0.0,0.0,0,0,0.0,0.0,1216617.1652588386,0.21661716525883867
2024-12-30,0.0,0.0,0.0,0,0,0.0,0.0,1216617.1652588386,0.21661716525883867
2025-01-02,0.0,0.0,0.0,0,0,0.0,0.0,1216617.1652588386,0.21661716525883867
2025-01-03,0.0,0.0,0.0,0,0,0.0,0.0,1216617.1652588386,0.21661716525883867
2025-01-07,0.0,0.0,0.0,0,0,0.0,0.0,1216617.1652588386,0.21661716525883867
2025-01-08,0.0,0.0,0.0,0,0,0.0,0.0,1216617.1652588386,0.21661716525883867
2025-01-09,0.0,0.0,0.0,0,0,0.0,0.0,1216617.1652588386,0.21661716525883867
2025-01-10,0.0,0.0,0.0,0,0,0.0,0.0,1216617.1652588386,0.21661716525883867
2025-01-13,0.0,0.0,0.0,0,0,0.0,0.0,1216617.1652588386,0.21661716525883867
2025-01-14,0.0,0.0,0.0,0,0,0.0,0.0,1216617.1652588386,0.21661716525883867
2025-01-15,0.0,0.0,0.0,0,0,0.0,0.0,1216617.1652588386,0.21661716525883867
2025-01-16,0.0,0.0,0.0,0,0,0.0,0.0,1216617.1652588386,0.21661716525883867
2025-01-17,0.0,0.0,0.0,0,0,0.0,0.0,1216617.1652588386,0.21661716525883867
